,ID,nombre,ID_host,host_nombre,host_desde,descripción,tiempo_respuesta,tasa_respuesta,tasa_aceptación_host,superhost,host_vecindario,host_listados,host_contacto,host_foto_perfil,host_identidad_verif,vecindario,grupo_vecindario,tipo_propiedad,tipo_habitación,alojados,baños,recámaras,camas,amenidades,precio,min_noches,max_noches,min_min_noches,max_max_noches,prom_min_noches,prom_max_noches,disponibilidad_30,disponibilidad_60,disponibilidad_90,disponibilidad_365,num_reviews,primer_review,ly_reviews,ocupación_estimada_365,ganancia_estimada_365,calificación_general,cal_precisión,cal_limpieza,cal_check-in,cal_comunicación,cal_ubicación,cal_valor,agendado_instante,reviews_mes,licencia
29000,1086532232822189896,luxury villa in Ka'anapali 1 br 1 king 1 sofa bed,17372055,Sofia,2014-06-28,"Westin Ka'anapali North 1 bedroom villa. The best place to stay in Ka'anapali where everything you want for a relaxing vacation is right in front of you. Steps away from the beach, luxury shops, snorkeling and more. Create unforgettable memories in paradise. This is a timeshare property send me a direct message to check availability and pricing. Studio, 1 bedroom, or 2 bedrooms may be available for your chosen date.",,,25%,f,Newport Coast,7.0,['phone'],t,t,Lahaina,Maui,Private room in resort,Private room,4,,1.0,,"[""Beach access \u2013 Beachfront"", ""Wifi"", ""Dedicated workspace"", ""BBQ grill"", ""Hot tub"", ""Kitchen"", ""Exterior security cameras on property"", ""Smoke alarm"", ""Washer"", ""Fire extinguisher"", ""Paid parking on premises"", ""Outdoor dining area"", ""Fire pit"", ""Air conditioning"", ""Building staff"", ""Self check-in"", ""TV"", ""Pool"", ""First aid kit""]",,2,3,2,3,2.0,3.0,0,0,0,0,0,,0,0,,,,,,,,,f,,Exempt
29200,1095041396333407693,Bamboo Jungle Cottage Near Ocean ~ Shaka,552020447,Myra,2023-12-21,"A short walk from the famed Red Road, with its stunning coastline and magical tree tunnels, indulge in an unparalleled escape within this thoughtfully crafted bamboo cottage. Seamlessly blending the boundaries of indoor and outdoor living, Shaka Cottage beckons you to submerge yourself in the serenity of the natural surroundings. Immerse yourself in the true essence of island living in this extraordinary bamboo sanctuary.",within an hour,100%,100%,t,,6.0,"['email', 'phone']",t,t,Puna,Hawaii,Entire cottage,Entire home/apt,3,1.0,1.0,2.0,"[""Coffee maker"", ""Conditioner"", ""Hair dryer"", ""Bathtub"", ""Garden view"", ""Self check-in"", ""Dining table"", ""Board games"", ""Shower gel"", ""Outdoor furniture"", ""Wifi"", ""Shared backyard \u2013 Not fully fenced"", ""Essentials"", ""Wine glasses"", ""Hot water"", ""Kitchenette"", ""Cleaning products"", ""Microwave"", ""Drying rack for clothing"", ""Outdoor dining area"", ""Single level home"", ""Private patio or balcony"", ""Dishes and silverware"", ""Lockbox"", ""Long term stays allowed"", ""First aid kit"", ""Books and reading material"", ""Fire extinguisher"", ""Shampoo"", ""Ceiling fan"", ""Shared beach access"", ""Bed linens"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Mini fridge"", ""Hot water kettle"", ""Hangers"", ""Smoke alarm"", ""Portable fans"", ""Coffee"", ""Hammock""]",$90.00,2,30,2,30,2.0,30.0,14,33,58,229,32,2024-03-24,26,192,17280.0,4.97,5.0,4.94,5.0,5.0,4.97,4.97,f,2.76,
29400,1105173785201971882,The Westin Princeville Ocean Resort - 2BR Villa,461064843,Eich,2022-05-26,"GENERIC PHOTOGRAPHS - Some details may vary depending on the unit assigned<br /><br />• Oceanfront Resort (Complex access to the resort beach)<br />• Two-bedroom villa with hot tub and full bathroom each<br />• Balcony with view of the island, pools or the gardens (depending on availability)<br />• Fully equipped kitchen <br />• Dining room with crockery <br />• Living room with TV<br />• Access to all resort amenities including the dazzling pools, golf course, wide variety of restaurants and bars and different entertainment options",within an hour,100%,54%,f,Waikiki,51.0,"['email', 'phone']",t,t,North Shore Kauai,Kauai,Entire condo,Entire home/apt,8,2.0,2.0,4.0,"[""Coffee maker"", ""Conditioner"", ""Sound system"", ""Hair dryer"", ""Bathtub"", ""Safe"", ""Dishwasher"", ""Dining table"", ""Shower gel"", ""Pool"", ""Outdoor furniture"", ""Wifi"", ""BBQ grill"", ""Private entrance"", ""Hot tub"", ""Refrigerator"", ""Essentials"", ""Beach access \u2013 Beachfront"", ""Wine glasses"", ""Hot water"", ""Luggage dropoff allowed"", ""Building staff"", ""Mosquito net"", ""Kitchen"", ""Outdoor dining area"", ""Body soap"", ""Microwave"", ""Elevator"", ""Single level home"", ""Iron"", ""Clothing storage"", ""Dishes and silverware"", ""Waterfront"", ""Washer"", ""Oven"", ""TV"", ""Cooking basics"", ""Dedicated workspace"", ""Patio or balcony"", ""Air conditioning"", ""Fire extinguisher"", ""Stove"", ""Shampoo"", ""Free resort access"", ""Ceiling fan"", ""Bed linens"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Mini fridge"", ""Hangers"", ""Smoke alarm"", ""Dryer"", ""Record player"", ""Gym"", ""Beach essentials"", ""Self check-in""]",$22.00,5,7,5,7,6.0,7.0,0,0,0,28,0,,0,0,0.0,,,,,,,,f,,"540050190000, TA-139-329-5360-01"
29600,1113899502595496625,Big House with ocean view and private pool in Kona,1723314,Chelsea,2012-02-08,"Experience airy island life! This 2,800 sq ft 3bed 2bath sleeps 6 comfortably, features indoor/outdoor living, vaulted ceilings, and a homey cabin atmosphere. Windows consume wall space and skylights allow natural island light to fall in throughout the home. <br /><br />The living room opens to a covered wrap-around lanai with Kona coast and private pool views.<br /><br />Located in a peaceful cul de sac a few minutes’ drive from scenic Ali’i Drive and downtown, you’re removed from yet close to all the action.",within an hour,100%,97%,t,,1.0,"['email', 'phone']",t,t,North Kona,Hawaii,Entire home,Entire home/apt,6,2.0,3.0,3.0,"[""Conditioner"", ""Freezer"", ""Sun loungers"", ""Hair dryer"", ""Bathtub"", ""Garden view"", ""Free driveway parking on premises \u2013 3 spaces"", ""Dining table"", ""Dishwasher"", ""Board games"", ""Shower gel"", ""Outdoor furniture"", ""Wifi"", ""BBQ grill"", ""Private outdoor pool - available all year, open 24 hours, pool toys"", ""Housekeeping - available at extra cost"", ""Private entrance"", ""Refrigerator"", ""Sea view"", ""Essentials"", ""Wine glasses"", ""Mountain view"", ""Hot water"", ""Baby safety gates"", ""Clothing storage: closet and dresser"", ""Barbecue utensils"", ""Free street parking"", ""Pool view"", ""Electric stove"", ""Kitchen"", ""55 inch HDTV with Amazon Prime Video, Apple TV, Chromecast, Disney+, HBO Max, Hulu, Netflix, Roku, premium cable"", ""Toaster"", ""Cleaning products"", ""Body soap"", ""Free dryer \u2013 In unit"", ""Ocean view"", ""Microwave"", ""Outdoor dining area"", ""Beach view"", ""Iron"", ""Private patio or balcony"", ""Dishes and silverware"", ""Lockbox"", ""Washer"", ""Beach essentials"", ""Long term stays allowed"", ""First aid kit"", ""Coffee maker: drip coffee maker, french press"", ""Cooking basics"", ""Bay view"", ""Dedicated workspace"", ""Books and reading material"", ""Fire extinguisher"", ""Backyard"", ""Shampoo"", ""Blender"", ""Ceiling fan"", ""Baking sheet"", ""Shared beach access"", ""Bed linens"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Stainless steel oven"", ""Hangers"", ""Smoke alarm"", ""Portable fans"", ""Trash compactor"", ""Coffee"", ""Room-darkening shades"", ""Self check-in""]",$339.00,3,365,3,1125,3.0,1125.0,5,22,52,107,14,2024-04-24,9,84,28476.0,4.93,4.93,4.71,5.0,4.86,5.0,4.64,f,1.32,
29800,1117714567130270804,Mauna Kai Charm: Villas with Breathtaking Views,501999278,RoomPicks,2023-02-20,"Get ready for white sand beaches and marine life, offer luxury and adventure. Enjoy award-winning dining, world-class golf, private beaches, ziplines, spas, and romantic sanctuaries. Experience tranquility and joy amidst dazzling Hawaiʻi sunsets. Escape into nature’s majesty.",within an hour,99%,88%,f,Gateway District,5944.0,"['email', 'phone']",t,t,Lahaina,Maui,Room in hotel,Hotel room,4,1.0,2.0,1.0,"[""Coffee maker"", ""Hair dryer"", ""Pets allowed"", ""Wifi"", ""Essentials"", ""Beach access \u2013 Beachfront"", ""Building staff"", ""Iron"", ""TV"", ""First aid kit"", ""Dedicated workspace"", ""Air conditioning"", ""Fire extinguisher"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Hangers"", ""Smoke alarm"", ""Smoking allowed"", ""Self check-in""]",$466.00,1,1125,1,1125,1.1,1024.3,4,29,47,271,0,,0,0,0.0,,,,,,,,t,,Exempt
30000,1128486502956919264,Kalo Homes ~ Dreamy Ocean Front Condo!,454631614,Kerstan,2022-04-17,"Indulge in an oceanfront escape at this 1-bedroom condo in Makaha! Enjoy the freedom to stay for the duration you desire, while our rental agreement requires a minimum booking of 30 days. Revel in the beauty of the ocean just steps away, with modern comforts and the flexibility to create your own stay duration. Your perfect beachside retreat awaits!",within an hour,100%,99%,t,,14.0,"['email', 'phone']",t,t,Waianae,Honolulu,Entire rental unit,Entire home/apt,4,1.0,1.0,0.0,"[""Washer"", ""Beach access \u2013 Beachfront"", ""TV"", ""Free parking on premises"", ""Outdoor shower"", ""First aid kit"", ""Smoke alarm"", ""Fire extinguisher"", ""Outdoor dining area"", ""Wifi"", ""BBQ grill""]",$117.00,30,365,30,365,30.0,365.0,26,30,60,118,0,,0,0,0.0,,,,,,,,f,,
30200,1131546250770833712,"Oceanfront 3BR with amazing view, pool & hot tub",71362662,Vacasa Hawaii,2016-05-10,,within an hour,100%,100%,f,Poipu,97.0,"['email', 'phone']",t,t,Koloa-Poipu,Kauai,Entire condo,Entire home/apt,6,2.5,3.0,3.0,"[""Coffee maker"", ""Hair dryer"", ""Dishwasher"", ""Pool"", ""Wifi"", ""BBQ grill"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Hot water"", ""Shared hot tub"", ""Kitchen"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""Lockbox"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Waterfront"", ""First aid kit"", ""Dedicated workspace"", ""Air conditioning"", ""Fire extinguisher"", ""Stove"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Hangers"", ""Smoke alarm"", ""Dryer"", ""Self check-in""]",$481.00,4,365,4,365,4.0,116.9,28,58,88,363,1,2024-11-11,1,8,3848.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,t,0.25,"280200030037, TA-052-406-0160-01"
30400,1134163343577218480,Ocean & Diamond Head Views! Pool & Parking! WU2514,69552498,Captain Cook Resorts,2016-04-29,"Waikiki Sunset #2514 – 229 Paoakalani Ave<br /><br />Popular 2-bedroom, 1-bath condo (604 sqft + 56 sqft lanai) positioned on the 25th floor in the preferred corner end suite stack with central AC and spectacular views of Diamond Head, Kapiolani Park, and the Pacific Ocean. Waikiki Sunset is located on a quieter street in the Diamond Head side of Waikiki. Just a short walk to the Waikiki beachfront, swimming, surfing, restaurants, bars, shops, Honolulu Zoo, Kapiolani Park, Waikiki Aquarium, and much more!",within an hour,100%,100%,t,Waikiki,228.0,"['email', 'phone', 'work_email']",t,t,Primary Urban Center,Honolulu,Entire condo,Entire home/apt,6,1.0,2.0,4.0,"[""Wifi"", ""BBQ grill"", ""Paid washer \u2013 In building"", ""Elevator"", ""Dishes and silverware"", ""Kitchen"", ""Conditioner"", ""Free parking on premises"", ""Smoke alarm"", ""Dining table"", ""Shared gym in building"", ""Body soap"", ""Fire extinguisher"", ""Outdoor dining area"", ""Hair dryer"", ""Paid dryer \u2013 In building"", ""Hot water kettle"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Refrigerator"", ""Laundromat nearby"", ""Rice maker"", ""Hot water"", ""Essentials"", ""Electric stove"", ""Bed linens"", ""Bathtub"", ""Ethernet connection"", ""Iron"", ""Freezer"", ""Single oven"", ""Coffee maker: drip coffee maker"", ""Microwave"", ""Outdoor furniture"", ""Shared outdoor pool - available all year, heated"", ""Toaster"", ""TV"", ""Cleaning products"", ""Hangers"", ""Single level home"", ""Ceiling fan"", ""Wine glasses"", ""Shampoo"", ""Private patio or balcony"", ""Central air conditioning""]",$251.00,1,1125,1,1125,2.7,297.8,1,5,13,253,8,2024-08-11,6,48,12048.0,5.0,5.0,4.88,4.88,4.88,5.0,4.88,t,1.11,"260280110260, 2514, TA-103-293-9008-01"
30600,1140716375369551040,Breathtaking Ocean Views  3 Bed/2 Bath Condo,451702122,Gregory,2022-03-28,"Make your tropical vacation dream a reality in our spacious 3 Bed/2 Bath condo with breathtaking views of the ocean and set in the resort area of Keauhou.  Relax on our lanai while the sun sets over the Pacific enjoying a cool drink.  Our condo is set up with all the comforts of home and for the beach.  The community enjoys 3 pools, jacuzzi's, and tennis courts; overlooks the golf course; and is a short walk to restaurants and shopping.   Mahalo! Lava Luxury Realty RB-23348",within an hour,100%,99%,t,,10.0,"['email', 'phone']",t,t,North Kona,Hawaii,Entire condo,Entire home/apt,6,2.0,3.0,4.0,"[""Drying rack for clothing"", ""Garden view"", ""Cooking basics"", ""Wifi"", ""Dedicated workspace"", ""Private entrance"", ""Dishes and silverware"", ""Kitchen"", ""Exterior security cameras on property"", ""Clothing storage: closet and dresser"", ""Free parking on premises"", ""Smoke alarm"", ""Dining table"", ""BBQ grill: gas"", ""Fire extinguisher"", ""Waterfront"", ""Outdoor dining area"", ""Hair dryer"", ""Kirkland conditioner"", ""Children\u2019s dinnerware"", ""Hot water kettle"", ""Long term stays allowed"", ""Refrigerator"", ""Extra pillows and blankets"", ""Kirkland shampoo"", ""Shared outdoor pool - available all year, open specific hours, heated"", ""Bidet"", ""Board games"", ""Rice maker"", ""Hot water"", ""Essentials"", ""65 inch HDTV"", ""Carbon monoxide alarm"", ""Ocean view"", ""Dishwasher"", ""Beach essentials"", ""Blender"", ""Bed linens"", ""Bathtub"", ""Free dryer \u2013 In unit"", ""Iron"", ""Kirkland body soap"", ""Freezer"", ""Coffee maker: drip coffee maker"", ""Microwave"", ""Barbecue utensils"", ""Outdoor furniture"", ""Bay view"", ""Toaster"", ""Golf course view"", ""Room-darkening shades"", ""Cleaning available during stay"", ""Cleaning products"", ""Hangers"", ""Books and reading material"", ""Window AC unit"", ""Portable fans"", ""Shared hot tub - available all year, open specific hours"", ""Shared beach access"", ""Oven"", ""Baking sheet"", ""Free washer \u2013 In unit"", ""First aid kit"", ""Ceiling fan"", ""Wine glasses"", ""Private patio or balcony""]",$449.00,7,365,7,365,7.0,365.0,0,11,22,198,10,2024-06-27,9,140,62860.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,1.15,PL-STVR-2024-000901
30800,1147724276940641427,Alii Cove#Q3,49441399,Blake,2015-11-19,Gorgeous ground floor unit at Alii Cove.,within an hour,100%,100%,t,Kailua/Kona,216.0,"['email', 'phone']",t,t,North Kona,Hawaii,Entire condo,Entire home/apt,6,2.0,2.0,3.0,"[""Coffee maker"", ""Hair dryer"", ""Dishwasher"", ""Pool"", ""Wifi"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Barbecue utensils"", ""Kitchen"", ""Toaster"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Cooking basics"", ""Patio or balcony"", ""Air conditioning"", ""Bed linens"", ""Free parking on premises"", ""Hot water kettle"", ""Hangers"", ""Dryer"", ""Gym""]",$109.00,1,1125,1,1125,11.9,718.8,0,0,15,213,0,,0,0,0.0,,,,,,,,t,,
31000,1151760535468144451,Spacious 2 Bed 1 Bath Beautiful Yard with Dahlias,6312762,Kenneth,2013-05-09,"Relax with your whole family at this peaceful, spacious home!",,,,f,,2.0,"['email', 'phone']",t,f,Makawao-Pukalani-Kula,Maui,Entire home,Entire home/apt,5,1.0,2.0,3.0,"[""TV"", ""Indoor fireplace"", ""Fire extinguisher"", ""Wifi"", ""Outdoor shower"", ""Kitchen"", ""Free parking on premises"", ""Smoke alarm"", ""Washer""]",$300.00,365,730,365,730,365.0,730.0,29,59,89,364,0,,0,0,0.0,,,,,,,,f,,
31200,1161883027739599107,Royal Garden at Waikiki Resort Studio Unit,16873016,Kirsty,2014-06-16,"This stylish place is close to must-see destinations. Located along the Ala Wai canal, the resort boasts European-style gardens blended with the tropical appeal of Oahu. The outdoor pool, garden, media lounge, and sauna bring tranquility, while bustling Honolulu adventures abound beyond the grounds. Come find your piece of paradise.",within a few hours,95%,8%,f,Brush / Stewarts,143.0,['phone'],t,t,Primary Urban Center,Honolulu,Room in hotel,Private room,2,1.0,0.0,1.0,"[""Hot water"", ""Hangers"", ""Essentials"", ""TV"", ""Exercise equipment"", ""Fire extinguisher"", ""Wifi"", ""BBQ grill"", ""Paid parking on premises"", ""Hair dryer"", ""Pool"", ""Iron"", ""First aid kit"", ""Heating"", ""Air conditioning"", ""Smoke alarm""]",$172.00,2,365,2,365,2.0,365.0,22,49,79,79,0,,0,0,0.0,,,,,,,,f,,Exempt
31400,1168174283705138415,Kuleana Club #707 Oceanfront-1 bd&1 ba-Ground Fl,574927413,Thom,2024-04-29,"Located on Maui's tropical west coast, the Kuleana Club has a panoramic view of the Pacific and the lovely offshore islands of Molokai and Lanai. This is a ground floor oceanfront condo, only steps to the ocean, surrounded by a plush Hawaiian garden. Enjoy swimming in our heated pool, playing tennis on our full sized court, playing shuffle board in the garden, or using our propane gas grills overlooking the ocean at sunset. Everywhere you look at the Kuleana Club is a Hawaiian paradise.",within an hour,100%,99%,t,,31.0,"['email', 'phone']",t,t,Lahaina,Maui,Entire condo,Entire home/apt,4,1.0,1.0,2.0,"[""Coffee maker"", ""Freezer"", ""Hair dryer"", ""Bathtub"", ""Dining table"", ""Dishwasher"", ""Pool"", ""Outdoor furniture"", ""Wifi"", ""BBQ grill"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Wine glasses"", ""Hot water"", ""Building staff"", ""Kitchen"", ""Toaster"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Long term stays allowed"", ""Cooking basics"", ""Patio or balcony"", ""Stove"", ""Fire extinguisher"", ""Blender"", ""Window AC unit"", ""Ceiling fan"", ""Baking sheet"", ""Bed linens"", ""Free parking on premises"", ""Hot water kettle"", ""Hangers"", ""Smoke alarm"", ""Portable fans"", ""Dryer"", ""Self check-in""]",$278.00,3,179,2,179,3.0,179.0,9,12,19,54,4,2024-07-08,4,24,6672.0,5.0,5.0,4.5,5.0,4.75,4.75,5.0,t,0.49,Exempt
31600,1180053739611312169,"Oceanfront spacious condo, updated, private beach",406956614,Stay Aloha,2021-06-13,"Welcome to Hale Mahina B403. This beautifully remodeled top floor beachfront 2 bedroom, 2 bath condo boasts expansive ocean views & classic Hawaiiana decor. This condo features a remodeled kitchen with stainless appliances, office desk, & breathtaking views. Hale Mahina is a very special smaller resort as it's one of the only resorts in the Honokowaii with useable sandy beach. Located in close proximity to farmers market, food truck park, shops, beach, dining, & farmers market. Book today!",within an hour,98%,93%,t,Wailea,59.0,"['email', 'phone']",t,t,Lahaina,Maui,Entire rental unit,Entire home/apt,4,2.0,2.0,3.0,"[""Coffee maker"", ""Conditioner"", ""Freezer"", ""Hair dryer"", ""Dishwasher"", ""Shower gel"", ""Pool"", ""Outdoor furniture"", ""Wifi"", ""BBQ grill"", ""Hot tub"", ""Pack \u2019n play/Travel crib"", ""Refrigerator"", ""Sea view"", ""Essentials"", ""Wine glasses"", ""Hot water"", ""Beach access \u2013 Beachfront"", ""Outdoor shower"", ""Barbecue utensils"", ""Kitchen"", ""Toaster"", ""Outdoor dining area"", ""Body soap"", ""Microwave"", ""Ocean view"", ""Elevator"", ""Beach view"", ""Iron"", ""Clothing storage"", ""Dishes and silverware"", ""Waterfront"", ""Washer"", ""Oven"", ""Beach essentials"", ""TV"", ""Long term stays allowed"", ""First aid kit"", ""Dedicated workspace"", ""Patio or balcony"", ""Stove"", ""Fire extinguisher"", ""Keypad"", ""Shampoo"", ""Blender"", ""Ceiling fan"", ""Baking sheet"", ""Bed linens"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Hangers"", ""Smoke alarm"", ""Portable fans"", ""Dryer"", ""Coffee"", ""Self check-in""]",$355.00,2,1125,2,1125,2.6,968.9,5,18,24,294,6,2024-07-27,4,36,12780.0,4.5,4.83,4.5,5.0,4.67,4.67,4.5,t,0.79,"430060410049, TA-095-678-4640-01"
31800,1183336150214004383,"Kona Reef A12 Direct Ocean Front, Remodeled, Air C",49441399,Blake,2015-11-19,Incredible Direct Oceanfront unit at Kona Reef. One of the very best. This premier direct oceanfront unit has everything one on Vacation could yearn for.,within an hour,100%,100%,t,Kailua/Kona,216.0,"['email', 'phone']",t,t,North Kona,Hawaii,Entire condo,Entire home/apt,4,1.0,1.0,2.0,"[""Coffee maker"", ""Hair dryer"", ""Dishwasher"", ""Pool"", ""Wifi"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Kitchen"", ""Toaster"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Waterfront"", ""Cooking basics"", ""Patio or balcony"", ""Air conditioning"", ""Stove"", ""Backyard"", ""Bed linens"", ""Free parking on premises"", ""Hot water kettle"", ""Hangers"", ""Dryer"", ""Gym""]",$269.00,1,1125,1,1125,3.1,162.9,18,47,68,329,1,2024-12-29,1,6,1614.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,0.41,
32000,1193863339787761634,Clean and Comfortable BNB,12730883,Michelle,2014-03-02,"Find tranquility in our Ohia-wood retreat, where a secluded lanai set the stage for meals with the sounds of nature. Indulge in the embrace of 14-inch memory foam mattresses and the entertainment of sleek flat-screen TVs. Our courtyard, a fusion of expansive skies and cozy corners—features a hot tub for ultimate relaxation. Savor the convenience of in-room amenities: a coffee maker, microwave, and fridge. A mere 2.5 miles away, the grandeur of Volcanoes National Park awaits, promising adventure.",within an hour,100%,96%,t,,13.0,"['email', 'phone']",t,t,Puna,Hawaii,Private room in bed and breakfast,Private room,3,1.0,1.0,1.0,"[""Heating"", ""Hair dryer"", ""Wifi"", ""BBQ grill"", ""Hot tub"", ""Beach access \u2013 Beachfront"", ""Outdoor dining area"", ""Lock on bedroom door"", ""Crib"", ""TV"", ""Keypad"", ""Air conditioning"", ""Fire extinguisher"", ""Exercise equipment"", ""Exterior security cameras on property"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Smoke alarm"", ""Self check-in""]",$92.00,1,1125,1,1125,1.0,51.0,30,46,76,166,3,2025-01-03,0,18,1656.0,5.0,5.0,5.0,5.0,5.0,5.0,4.67,t,1.43,GE-209-519-1552-01 / TA-209-519-1552-01
32200,1204426188333482221,2 Relaxing Family Room w/ Balcony | Outdoor Pool,468914400,Aishat,2022-07-11,"Dive into the heart of Waikiki with us, located just moments away to breathtaking Waikiki Beach and discover bustling shopping centers, and savor local cuisine. You can also enjoy proximity to Waikiki attraction like Honolulu Zoo and Waikiki Aquarium.",within an hour,97%,99%,f,Waikiki,497.0,"['email', 'phone']",t,t,Primary Urban Center,Honolulu,Room in hotel,Hotel room,8,2.0,2.0,4.0,"[""Coffee maker"", ""Heating"", ""Pets allowed"", ""Wifi"", ""Paid parking on premises"", ""Refrigerator"", ""Essentials"", ""Building staff"", ""Microwave"", ""Iron"", ""Washer"", ""TV"", ""First aid kit"", ""Dedicated workspace"", ""Lake access"", ""Air conditioning"", ""Fire extinguisher"", ""Stove"", ""Shampoo"", ""Patio or balcony"", ""Bed linens"", ""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Hangers"", ""Smoke alarm"", ""Dryer"", ""Self check-in""]",$631.00,1,365,1,999,1.0,297.1,27,57,87,108,0,,0,0,0.0,,,,,,,,t,,Exempt
32400,1217089568213910970,Leilani Makai Hale,594479847,Noel,2024-08-06,"Welcome to your Hawaiian escape, where tranquility and nature seamlessly blend. Nestled in a serene corner of the Big Island, our charming Airbnb offers a peaceful farm-like atmosphere, perfect for unwinding after exploring the island. A short drive from top attractions, our retreat offers easy access to Hawaii Volcanoes National Park’s stunning volcanoes and rainforests. Famous beaches like Punaluʻu Black Sand Beach and Kailua-Kona are also nearby, ideal for sunbathing, swimming, and snorkeling",within an hour,100%,100%,t,,1.0,"['email', 'phone']",t,f,Kau,Hawaii,Entire guesthouse,Entire home/apt,2,1.0,1.0,1.0,"[""Freezer"", ""Hair dryer"", ""Native shampoo"", ""Dining table"", ""Outdoor furniture"", ""Wifi"", ""Native conditioner"", ""Refrigerator"", ""Hot water"", ""Electric stove"", ""Kitchen"", ""Coffee maker: Keurig coffee machine"", ""Cleaning products"", ""Microwave"", ""Outdoor dining area"", ""Dishes and silverware"", ""TV"", ""Long term stays allowed"", ""First aid kit"", ""Cooking basics"", ""Dedicated workspace"", ""Keypad"", ""Fire extinguisher"", ""Clothing storage: dresser"", ""Backyard"", ""Housekeeping available from 10:00\u202fAM to 2:00\u202fPM, every day - available at extra cost"", ""Exterior security cameras on property"", ""Rice maker"", ""Bed linens"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Stainless steel oven"", ""Smoke alarm"", ""Fire pit"", ""Portable fans"", ""Coffee"", ""Room-darkening shades"", ""Self check-in""]",$122.00,2,365,2,365,2.0,365.0,7,7,7,7,24,2024-09-01,17,144,17568.0,5.0,4.96,5.0,4.88,5.0,4.92,4.92,t,3.71,
32600,1223217565255006515,New Listing!,136413914,Marie,2017-06-22,"1 minute walk to beautiful Kamaole 1 Beach, as well as numerous restaurants and bars.<br /><br />New renovation with all new everything!  King bed and queen sofa bed are memory foam.<br /><br />Corner unit: upcountry and peek-a-boo ocean views.<br /><br />All the kitchen and bathroom amenities provided, including beach towels, chairs and umbrellas. <br /><br />Beautiful art by local artist Sherri Reeves, from Makawao.<br /><br />Quiet, well-maintained condo complex with large jacuzzi, swimming pool, sauna and pickle ball court. Free parking.",within an hour,100%,100%,t,,1.0,"['email', 'phone']",t,t,Kihei-Makena,Maui,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Drying rack for clothing"", ""Cooking basics"", ""Beach access \u2013 Beachfront"", ""Wifi"", ""Dedicated workspace"", ""BBQ grill"", ""Elevator"", ""Private entrance"", ""Dishes and silverware"", ""Hot tub"", ""Kitchen"", ""Free parking on premises"", ""Shower gel"", ""Smoke alarm"", ""Dining table"", ""Washer"", ""Liquid all natural, coconut  body soap"", ""Fire extinguisher"", ""Children\u2019s books and toys for ages 0-2 years old and 2-5 years old"", ""Outdoor dining area"", ""Hair dryer"", ""Children\u2019s dinnerware"", ""Hot water kettle"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Extra pillows and blankets"", ""Air conditioning"", ""Sun loungers"", ""Coconut, all-natural conditioner"", ""Board games"", ""Rice maker"", ""Hot water"", ""Essentials"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Samsung single oven"", ""Outdoor shower"", ""Beach essentials"", ""Blender"", ""Coconut, all-natural shampoo"", ""Bed linens"", ""Free dryer \u2013 In unit"", ""Barbecue utensils"", ""Iron"", ""Freezer"", ""Coffee maker: drip coffee maker, Keurig coffee machine"", ""Microwave"", ""Outdoor furniture"", ""Samsung refrigerator"", ""Toaster"", ""Self check-in"", ""Room-darkening shades"", ""TV"", ""Cleaning products"", ""Hangers"", ""Books and reading material"", ""Coffee"", ""Pool"", ""Baking sheet"", ""First aid kit"", ""Ceiling fan"", ""Samsung electric stove"", ""Wine glasses"", ""Private patio or balcony"", ""Shared sauna"", ""Lockbox""]",$184.00,1,365,1,365,1.0,365.0,2,7,8,122,31,2024-08-31,19,186,34224.0,4.97,5.0,4.97,4.97,5.0,4.97,4.97,t,4.72,"390200160044, TA-104-405-4528-01"
